sNoEmplacement,nNoTroncon,longitude,latitude
G821,407,-73.563789,45.515151
G822,407,-73.56366,45.515092
G823,407,-73.56366,45.515092
G824,407,-73.563513,45.515053
Q573,408,-73.561689,45.514379
Q574,408,-73.561689,45.514379
Q575,408,-73.56156,45.514321
Q576,408,-73.56156,45.514321
Q577,408,-73.561431,45.514262
Q578,408,-73.561431,45.514262
Q579,408,-73.561367,45.514233
Q580,408,-73.561238,45.514174
Q581,408,-73.561238,45.514174
Q582,408,-73.561108,45.514115
Q583,408,-73.561108,45.514115
Q585,408,-73.560933,45.514038
Q586,408,-73.560933,45.514038
Q587,408,-73.560805,45.513978
Q588,408,-73.560805,45.513978
Q589,408,-73.560683,45.513924
Q590,408,-73.560683,45.513924
Q591,408,-73.560618,45.513895
G828,409,-73.563118,45.514847
G829,409,-73.563118,45.514847
G830,409,-73.562983,45.514785
G838,409,-73.562479,45.514554
G839,409,-73.562403,45.514521
G840,409,-73.562403,45.514521
G841,409,-73.56229,45.51447
G842,409,-73.562229,45.514442
Q619,410,-73.560252,45.513727
Q620,410,-73.560172,45.51369
Q621,410,-73.560097,45.513656
Q622,410,-73.560097,45.513656
Q554,411,-73.561774,45.514235
Q555,411,-73.561774,45.514235
Q556,411,-73.561688,45.514195
Q559,411,-73.561536,45.514125
Q560,411,-73.561419,45.514068
Q561,411,-73.561354,45.514038
Q562,411,-73.561288,45.514009
Q563,411,-73.561288,45.514009
Q564,411,-73.561139,45.513968
Q565,411,-73.561139,45.513968
Q566,411,-73.561023,45.513893
Q567,411,-73.561023,45.513893
Q570,411,-73.560858,45.513816
Q571,411,-73.560724,45.513755
Q572,411,-73.560724,45.513755
Q592,414,-73.56036,45.513584
Q593,414,-73.56036,45.513584
Q594,414,-73.56025,45.513536
Q598,414,-73.560018,45.513435
Q599,414,-73.559873,45.513367
Q600,414,-73.559873,45.513367
Q602,414,-73.559682,45.513282
Q603,414,-73.559585,45.513237
Q604,414,-73.559585,45.513237
Q605,414,-73.559481,45.513189
Q607,414,-73.559367,45.513143
Q608,415,-73.559109,45.513024
Q609,415,-73.559109,45.513024
G658,561,-73.56394,45.514072
G659,561,-73.563956,45.514054
G665,561,-73.563509,45.513876
G666,561,-73.563509,45.513876
G668,561,-73.563245,45.513729
G669,561,-73.563161,45.51369
G670,561,-73.563161,45.51369
